Count,Time, Local Time, Distance 1, Distance 2
1.000000000000000000e+00,1.727332839744457764e+12,1.727332839798412085e+09,4.403000000000000114e+02,4.948000000000000114e+02
2.000000000000000000e+00,1.727332839844267090e+12,1.727332839892150164e+09,4.406000000000000227e+02,4.958999999999999773e+02
3.000000000000000000e+00,1.727332839944408691e+12,1.727332840001321793e+09,4.406000000000000227e+02,4.956000000000000227e+02
4.000000000000000000e+00,1.727332840046384033e+12,1.727332840103074551e+09,4.403999999999999773e+02,4.953000000000000114e+02
5.000000000000000000e+00,1.727332840144420898e+12,1.727332840207839012e+09,4.401999999999999886e+02,4.941999999999999886e+02
6.000000000000000000e+00,1.727332840244158203e+12,1.727332840307941914e+09,4.403999999999999773e+02,4.951000000000000227e+02
7.000000000000000000e+00,1.727332840344483154e+12,1.727332840425163269e+09,4.400000000000000000e+02,4.953000000000000114e+02
8.000000000000000000e+00,1.727332840477356445e+12,1.727332840516239643e+09,4.405000000000000000e+02,4.943000000000000114e+02
9.000000000000000000e+00,1.727332840577685059e+12,1.727332840629240990e+09,4.403000000000000114e+02,4.953999999999999773e+02
1.000000000000000000e+01,1.727332840677574707e+12,1.727332840725860596e+09,4.403000000000000114e+02,4.946999999999999886e+02
1.100000000000000000e+01,1.727332840777779785e+12,1.727332840832485199e+09,4.405000000000000000e+02,4.946000000000000227e+02
1.200000000000000000e+01,1.727332840877502441e+12,1.727332840934650660e+09,4.401000000000000227e+02,4.950000000000000000e+02
1.300000000000000000e+01,1.727332840977223633e+12,1.727332841042353868e+09,4.401999999999999886e+02,4.943999999999999773e+02
1.400000000000000000e+01,1.727332841077467285e+12,1.727332841145242691e+09,4.406000000000000227e+02,4.956999999999999886e+02
1.500000000000000000e+01,1.727332841177229248e+12,1.727332841247154236e+09,4.408000000000000114e+02,4.955000000000000000e+02
1.600000000000000000e+01,1.727332841310809570e+12,1.727332841349391699e+09,4.408000000000000114e+02,4.956000000000000227e+02
1.700000000000000000e+01,1.727332841410337158e+12,1.727332841461976528e+09,4.408000000000000114e+02,4.953999999999999773e+02
1.800000000000000000e+01,1.727332841510854980e+12,1.727332841564206839e+09,4.406000000000000227e+02,4.953999999999999773e+02
1.900000000000000000e+01,1.727332841610718750e+12,1.727332841668680906e+09,4.398999999999999773e+02,4.948000000000000114e+02
2.000000000000000000e+01,1.727332841710859619e+12,1.727332841766599655e+09,4.403000000000000114e+02,4.946000000000000227e+02
2.100000000000000000e+01,1.727332841810187500e+12,1.727332841865899086e+09,4.398999999999999773e+02,4.953000000000000114e+02
2.200000000000000000e+01,1.727332841910423828e+12,1.727332841977739334e+09,4.401999999999999886e+02,4.953000000000000114e+02
2.300000000000000000e+01,1.727332842010129883e+12,1.727332842076586246e+09,4.398999999999999773e+02,4.948000000000000114e+02
2.400000000000000000e+01,1.727332842143456787e+12,1.727332842191044092e+09,4.401000000000000227e+02,4.953999999999999773e+02
2.500000000000000000e+01,1.727332842243378906e+12,1.727332842281925201e+09,4.406999999999999886e+02,4.953999999999999773e+02
2.600000000000000000e+01,1.727332842343966797e+12,1.727332842393996000e+09,4.406999999999999886e+02,4.951000000000000227e+02
2.700000000000000000e+01,1.727332842443424561e+12,1.727332842492238283e+09,4.405000000000000000e+02,4.955000000000000000e+02
2.800000000000000000e+01,1.727332842544033936e+12,1.727332842600129843e+09,4.405000000000000000e+02,4.948000000000000114e+02
2.900000000000000000e+01,1.727332842643972656e+12,1.727332842697886944e+09,4.406000000000000227e+02,4.946000000000000227e+02
3.000000000000000000e+01,1.727332842743624023e+12,1.727332842811509609e+09,4.403999999999999773e+02,4.946000000000000227e+02
3.100000000000000000e+01,1.727332842843705811e+12,1.727332842906296730e+09,4.403999999999999773e+02,4.951000000000000227e+02
3.200000000000000000e+01,1.727332842943477295e+12,1.727332843014023542e+09,4.405000000000000000e+02,4.946999999999999886e+02
3.300000000000000000e+01,1.727332843076968018e+12,1.727332843113559723e+09,4.401000000000000227e+02,4.951999999999999886e+02
3.400000000000000000e+01,1.727332843176445068e+12,1.727332843216477633e+09,4.403999999999999773e+02,4.956999999999999886e+02
3.500000000000000000e+01,1.727332843277119141e+12,1.727332843318911076e+09,4.398000000000000114e+02,4.951999999999999886e+02
3.600000000000000000e+01,1.727332843376460693e+12,1.727332843423176050e+09,4.400000000000000000e+02,4.951999999999999886e+02
3.700000000000000000e+01,1.727332843476792236e+12,1.727332843532159567e+09,4.403999999999999773e+02,4.960000000000000000e+02
3.800000000000000000e+01,1.727332843576786133e+12,1.727332843631207943e+09,4.411000000000000227e+02,4.950000000000000000e+02
3.900000000000000000e+01,1.727332843676530518e+12,1.727332843740333319e+09,4.406000000000000227e+02,4.953999999999999773e+02
4.000000000000000000e+01,1.727332843777020752e+12,1.727332843842024088e+09,4.408999999999999773e+02,4.961999999999999886e+02
4.100000000000000000e+01,1.727332843876331299e+12,1.727332843950855494e+09,4.406000000000000227e+02,4.953999999999999773e+02
4.200000000000000000e+01,1.727332844009975586e+12,1.727332844050213814e+09,4.403000000000000114e+02,4.958000000000000114e+02
4.300000000000000000e+01,1.727332844109676514e+12,1.727332844156649590e+09,4.413000000000000114e+02,4.961000000000000227e+02
4.400000000000000000e+01,1.727332844210243896e+12,1.727332844259257793e+09,4.413999999999999773e+02,4.960000000000000000e+02
4.500000000000000000e+01,1.727332844309621826e+12,1.727332844363272429e+09,4.408999999999999773e+02,4.960000000000000000e+02
4.600000000000000000e+01,1.727332844409530518e+12,1.727332844470477343e+09,4.398000000000000114e+02,4.946999999999999886e+02
4.700000000000000000e+01,1.727332844509505127e+12,1.727332844566894770e+09,4.386999999999999886e+02,4.933000000000000114e+02
4.800000000000000000e+01,1.727332844609789307e+12,1.727332844670342445e+09,4.388000000000000114e+02,4.933000000000000114e+02
4.900000000000000000e+01,1.727332844709510498e+12,1.727332844775818825e+09,4.391999999999999886e+02,4.941999999999999886e+02
5.000000000000000000e+01,1.727332844842792480e+12,1.727332844886018753e+09,4.403000000000000114e+02,4.960000000000000000e+02
5.100000000000000000e+01,1.727332844942743164e+12,1.727332844979761600e+09,4.413000000000000114e+02,4.958000000000000114e+02
5.200000000000000000e+01,1.727332845042542480e+12,1.727332845082488537e+09,4.418999999999999773e+02,4.965000000000000000e+02
5.300000000000000000e+01,1.727332845142516357e+12,1.727332845183843136e+09,4.411999999999999886e+02,4.963999999999999773e+02
5.400000000000000000e+01,1.727332845242459961e+12,1.727332845286343336e+09,4.406999999999999886e+02,4.956000000000000227e+02
5.500000000000000000e+01,1.727332845342478516e+12,1.727332845389121294e+09,4.396000000000000227e+02,4.951000000000000227e+02
5.600000000000000000e+01,1.727332845442389893e+12,1.727332845492591619e+09,4.398999999999999773e+02,4.943000000000000114e+02
5.700000000000000000e+01,1.727332845542632568e+12,1.727332845597386599e+09,4.398000000000000114e+02,4.946000000000000227e+02
5.800000000000000000e+01,1.727332845642382812e+12,1.727332845696161270e+09,4.403999999999999773e+02,4.948000000000000114e+02
5.900000000000000000e+01,1.727332845742291748e+12,1.727332845805007935e+09,4.406999999999999886e+02,4.953000000000000114e+02
6.000000000000000000e+01,1.727332845842683838e+12,1.727332845906656981e+09,4.408999999999999773e+02,4.961999999999999886e+02
6.100000000000000000e+01,1.727332845942324707e+12,1.727332846017509222e+09,4.406000000000000227e+02,4.951999999999999886e+02
6.200000000000000000e+01,1.727332846075678711e+12,1.727332846110517740e+09,4.400000000000000000e+02,4.943999999999999773e+02
6.300000000000000000e+01,1.727332846175675537e+12,1.727332846222440004e+09,4.400000000000000000e+02,4.950000000000000000e+02
6.400000000000000000e+01,1.727332846275562256e+12,1.727332846315613985e+09,4.396999999999999886e+02,4.951000000000000227e+02
6.500000000000000000e+01,1.727332846375472900e+12,1.727332846422816992e+09,4.401000000000000227e+02,4.958000000000000114e+02
6.600000000000000000e+01,1.727332846475490479e+12,1.727332846522009850e+09,4.403999999999999773e+02,4.950000000000000000e+02
6.700000000000000000e+01,1.727332846575397217e+12,1.727332846624955416e+09,4.411000000000000227e+02,4.966000000000000227e+02
6.800000000000000000e+01,1.727332846675450439e+12,1.727332846727853298e+09,4.406999999999999886e+02,4.951999999999999886e+02
6.900000000000000000e+01,1.727332846775367676e+12,1.727332846827156782e+09,4.405000000000000000e+02,4.956000000000000227e+02
7.000000000000000000e+01,1.727332846875352051e+12,1.727332846926889896e+09,4.408999999999999773e+02,4.960000000000000000e+02
7.100000000000000000e+01,1.727332846975603516e+12,1.727332847046249866e+09,4.403000000000000114e+02,4.955000000000000000e+02
7.200000000000000000e+01,1.727332847075427979e+12,1.727332847146612167e+09,4.403000000000000114e+02,4.956000000000000227e+02
7.300000000000000000e+01,1.727332847208663086e+12,1.727332847239890099e+09,4.400000000000000000e+02,4.951999999999999886e+02
7.400000000000000000e+01,1.727332847308895508e+12,1.727332847343258619e+09,4.400000000000000000e+02,4.943000000000000114e+02
7.500000000000000000e+01,1.727332847408558838e+12,1.727332847448270321e+09,4.393999999999999773e+02,4.941000000000000227e+02
7.600000000000000000e+01,1.727332847508508057e+12,1.727332847552990437e+09,4.396999999999999886e+02,4.941999999999999886e+02
7.700000000000000000e+01,1.727332847608817627e+12,1.727332847658776999e+09,4.396000000000000227e+02,4.946000000000000227e+02
7.800000000000000000e+01,1.727332847708476318e+12,1.727332847761502266e+09,4.403000000000000114e+02,4.950000000000000000e+02
7.900000000000000000e+01,1.727332847808686279e+12,1.727332847872762203e+09,4.406999999999999886e+02,4.950000000000000000e+02
8.000000000000000000e+01,1.727332847908508545e+12,1.727332847974100590e+09,4.408999999999999773e+02,4.953000000000000114e+02
8.100000000000000000e+01,1.727332848008871094e+12,1.727332848072670221e+09,4.406000000000000227e+02,4.963000000000000114e+02
8.200000000000000000e+01,1.727332848142300049e+12,1.727332848176712751e+09,4.403999999999999773e+02,4.950000000000000000e+02
8.300000000000000000e+01,1.727332848242027100e+12,1.727332848278105497e+09,4.405000000000000000e+02,4.956999999999999886e+02
8.400000000000000000e+01,1.727332848341644531e+12,1.727332848381336927e+09,4.401999999999999886e+02,4.956999999999999886e+02
8.500000000000000000e+01,1.727332848441622803e+12,1.727332848483262300e+09,4.400000000000000000e+02,4.953999999999999773e+02
8.600000000000000000e+01,1.727332848541752686e+12,1.727332848588143587e+09,4.401999999999999886e+02,4.943000000000000114e+02
8.700000000000000000e+01,1.727332848641783447e+12,1.727332848689285278e+09,4.398999999999999773e+02,4.948999999999999773e+02
8.800000000000000000e+01,1.727332848741527100e+12,1.727332848793559074e+09,4.398000000000000114e+02,4.948000000000000114e+02
8.900000000000000000e+01,1.727332848841552490e+12,1.727332848894065142e+09,4.403000000000000114e+02,4.956000000000000227e+02
9.000000000000000000e+01,1.727332848941481201e+12,1.727332849000178099e+09,4.421000000000000227e+02,4.970000000000000000e+02
9.100000000000000000e+01,1.727332849041649170e+12,1.727332849102039099e+09,4.423000000000000114e+02,4.963999999999999773e+02
9.200000000000000000e+01,1.727332849141664795e+12,1.727332849207404137e+09,4.431000000000000227e+02,4.978000000000000114e+02
9.300000000000000000e+01,1.727332849274696289e+12,1.727332849309527159e+09,4.431999999999999886e+02,4.978000000000000114e+02
9.400000000000000000e+01,1.727332849374907227e+12,1.727332849414271593e+09,4.431999999999999886e+02,4.983000000000000114e+02
9.500000000000000000e+01,1.727332849474909668e+12,1.727332849513279915e+09,4.420000000000000000e+02,4.980000000000000000e+02
9.600000000000000000e+01,1.727332849574811279e+12,1.727332849613637447e+09,4.428999999999999773e+02,4.981999999999999886e+02
9.700000000000000000e+01,1.727332849674678955e+12,1.727332849718860865e+09,4.421999999999999886e+02,4.966999999999999886e+02
9.800000000000000000e+01,1.727332849774966309e+12,1.727332849825544357e+09,4.415000000000000000e+02,4.968999999999999773e+02
9.900000000000000000e+01,1.727332849875399170e+12,1.727332849923295975e+09,4.406999999999999886e+02,4.956999999999999886e+02
1.000000000000000000e+02,1.727332849974694824e+12,1.727332850025673628e+09,4.396000000000000227e+02,4.941999999999999886e+02
1.010000000000000000e+02,1.727332850074927979e+12,1.727332850128487110e+09,4.390000000000000000e+02,4.935000000000000000e+02
1.020000000000000000e+02,1.727332850175766846e+12,1.727332850237760544e+09,4.388999999999999773e+02,4.948000000000000114e+02
1.030000000000000000e+02,1.727332850274774414e+12,1.727332850337798357e+09,4.383000000000000114e+02,4.928000000000000114e+02
1.040000000000000000e+02,1.727332850407924072e+12,1.727332850438562870e+09,4.386999999999999886e+02,4.930000000000000000e+02
1.050000000000000000e+02,1.727332850507862061e+12,1.727332850544116259e+09,4.390000000000000000e+02,4.935000000000000000e+02
1.060000000000000000e+02,1.727332850607927979e+12,1.727332850649292707e+09,4.391999999999999886e+02,4.936000000000000227e+02
1.070000000000000000e+02,1.727332850707702393e+12,1.727332850750203133e+09,4.398999999999999773e+02,4.946999999999999886e+02
1.080000000000000000e+02,1.727332850807969727e+12,1.727332850855419636e+09,4.398999999999999773e+02,4.951000000000000227e+02
1.090000000000000000e+02,1.727332850907918457e+12,1.727332850953812599e+09,4.400000000000000000e+02,4.940000000000000000e+02
1.100000000000000000e+02,1.727332851007738037e+12,1.727332851057833433e+09,4.396999999999999886e+02,4.946999999999999886e+02
1.110000000000000000e+02,1.727332851107660400e+12,1.727332851161031961e+09,4.403000000000000114e+02,4.956999999999999886e+02
1.120000000000000000e+02,1.727332851208054443e+12,1.727332851264509439e+09,4.408000000000000114e+02,4.951999999999999886e+02
1.130000000000000000e+02,1.727332851307661133e+12,1.727332851370994806e+09,4.408000000000000114e+02,4.956999999999999886e+02
1.140000000000000000e+02,1.727332851408019287e+12,1.727332851469820261e+09,4.406000000000000227e+02,4.955000000000000000e+02
1.150000000000000000e+02,1.727332851541003906e+12,1.727332851582098246e+09,4.401999999999999886e+02,4.953999999999999773e+02
1.160000000000000000e+02,1.727332851641132568e+12,1.727332851676129580e+09,4.401000000000000227e+02,4.958000000000000114e+02
1.170000000000000000e+02,1.727332851740837158e+12,1.727332851779685736e+09,4.403999999999999773e+02,4.953000000000000114e+02
1.180000000000000000e+02,1.727332851841028809e+12,1.727332851884864092e+09,4.403000000000000114e+02,4.958000000000000114e+02
1.190000000000000000e+02,1.727332851940777344e+12,1.727332851986387730e+09,4.410000000000000000e+02,4.956000000000000227e+02
1.200000000000000000e+02,1.727332852040909180e+12,1.727332852086246967e+09,4.408999999999999773e+02,4.958000000000000114e+02
1.210000000000000000e+02,1.727332852140746826e+12,1.727332852194082260e+09,4.415000000000000000e+02,4.968000000000000114e+02
1.220000000000000000e+02,1.727332852240724121e+12,1.727332852290866613e+09,4.418999999999999773e+02,4.973999999999999773e+02
1.230000000000000000e+02,1.727332852340740479e+12,1.727332852397127151e+09,4.421999999999999886e+02,4.975000000000000000e+02
1.240000000000000000e+02,1.727332852440759766e+12,1.727332852505228758e+09,4.415000000000000000e+02,4.963999999999999773e+02
1.250000000000000000e+02,1.727332852540585938e+12,1.727332852614588261e+09,4.421000000000000227e+02,4.973000000000000114e+02
1.260000000000000000e+02,1.727332852674089355e+12,1.727332852711724520e+09,4.421000000000000227e+02,4.966999999999999886e+02
1.270000000000000000e+02,1.727332852774002686e+12,1.727332852815023661e+09,4.415000000000000000e+02,4.956000000000000227e+02
1.280000000000000000e+02,1.727332852873753174e+12,1.727332852915480137e+09,4.403000000000000114e+02,4.956000000000000227e+02
1.290000000000000000e+02,1.727332852973874756e+12,1.727332853020572901e+09,4.395000000000000000e+02,4.943000000000000114e+02
1.300000000000000000e+02,1.727332853073969482e+12,1.727332853118082762e+09,4.388999999999999773e+02,4.938000000000000114e+02
1.310000000000000000e+02,1.727332853173719482e+12,1.727332853225483894e+09,4.386999999999999886e+02,4.938000000000000114e+02
1.320000000000000000e+02,1.727332853273914062e+12,1.727332853335019588e+09,4.390000000000000000e+02,4.941999999999999886e+02
1.330000000000000000e+02,1.727332853375419922e+12,1.727332853428952694e+09,4.391000000000000227e+02,4.938000000000000114e+02
1.340000000000000000e+02,1.727332853473691162e+12,1.727332853535667181e+09,4.391000000000000227e+02,4.946000000000000227e+02
1.350000000000000000e+02,1.727332853573677734e+12,1.727332853644737244e+09,4.391999999999999886e+02,4.936000000000000227e+02
1.360000000000000000e+02,1.727332853706909668e+12,1.727332853743607521e+09,4.388999999999999773e+02,4.936999999999999886e+02
1.370000000000000000e+02,1.727332853806896484e+12,1.727332853843253136e+09,4.400000000000000000e+02,4.946000000000000227e+02
1.380000000000000000e+02,1.727332853907275146e+12,1.727332853959012508e+09,4.411000000000000227e+02,4.955000000000000000e+02
1.390000000000000000e+02,1.727332854006897949e+12,1.727332854050611258e+09,4.408999999999999773e+02,4.951999999999999886e+02
1.400000000000000000e+02,1.727332854107040771e+12,1.727332854163115740e+09,4.408000000000000114e+02,4.963000000000000114e+02
1.410000000000000000e+02,1.727332854206899902e+12,1.727332854268517733e+09,4.403000000000000114e+02,4.953999999999999773e+02
1.420000000000000000e+02,1.727332854306729736e+12,1.727332854361062765e+09,4.398000000000000114e+02,4.951000000000000227e+02
1.430000000000000000e+02,1.727332854406692871e+12,1.727332854471038580e+09,4.398000000000000114e+02,4.946000000000000227e+02
1.440000000000000000e+02,1.727332854506840088e+12,1.727332854571771622e+09,4.395000000000000000e+02,4.948000000000000114e+02
1.450000000000000000e+02,1.727332854607061279e+12,1.727332854678402901e+09,4.393000000000000114e+02,4.931999999999999886e+02
1.460000000000000000e+02,1.727332854740065186e+12,1.727332854785875559e+09,4.398999999999999773e+02,4.950000000000000000e+02
1.470000000000000000e+02,1.727332854840320312e+12,1.727332854887013674e+09,4.408000000000000114e+02,4.960000000000000000e+02
1.480000000000000000e+02,1.727332854939974365e+12,1.727332854991277218e+09,4.416000000000000227e+02,4.961000000000000227e+02
1.490000000000000000e+02,1.727332855039880615e+12,1.727332855082988501e+09,4.416000000000000227e+02,4.960000000000000000e+02
1.500000000000000000e+02,1.727332855139833496e+12,1.727332855199604511e+09,4.418000000000000114e+02,4.976999999999999886e+02
1.510000000000000000e+02,1.727332855239861084e+12,1.727332855296328545e+09,4.415000000000000000e+02,4.963000000000000114e+02
1.520000000000000000e+02,1.727332855339791992e+12,1.727332855408897877e+09,4.416000000000000227e+02,4.965000000000000000e+02
1.530000000000000000e+02,1.727332855439766846e+12,1.727332855507994890e+09,4.413000000000000114e+02,4.970000000000000000e+02
1.540000000000000000e+02,1.727332855539843750e+12,1.727332855604833364e+09,4.418000000000000114e+02,4.963000000000000114e+02
1.550000000000000000e+02,1.727332855673221680e+12,1.727332855717360735e+09,4.413000000000000114e+02,4.960000000000000000e+02
1.560000000000000000e+02,1.727332855773103027e+12,1.727332855818160534e+09,4.411000000000000227e+02,4.961999999999999886e+02
1.570000000000000000e+02,1.727332855872995117e+12,1.727332855925536871e+09,4.403000000000000114e+02,4.956000000000000227e+02
1.580000000000000000e+02,1.727332855973072021e+12,1.727332856026270151e+09,4.403999999999999773e+02,4.953999999999999773e+02
1.590000000000000000e+02,1.727332856073068359e+12,1.727332856121224642e+09,4.403000000000000114e+02,4.953000000000000114e+02
1.600000000000000000e+02,1.727332856173723145e+12,1.727332856227842093e+09,4.408000000000000114e+02,4.958999999999999773e+02
1.610000000000000000e+02,1.727332856272889160e+12,1.727332856331814051e+09,4.403000000000000114e+02,4.951999999999999886e+02
1.620000000000000000e+02,1.727332856372851318e+12,1.727332856445881367e+09,4.406999999999999886e+02,4.941999999999999886e+02
1.630000000000000000e+02,1.727332856506143311e+12,1.727332856550983429e+09,4.393000000000000114e+02,4.940000000000000000e+02
1.640000000000000000e+02,1.727332856606174072e+12,1.727332856650997400e+09,4.388000000000000114e+02,4.936999999999999886e+02
1.650000000000000000e+02,1.727332856706203125e+12,1.727332856750048876e+09,4.386000000000000227e+02,4.933999999999999773e+02
1.660000000000000000e+02,1.727332856806660400e+12,1.727332856867924690e+09,4.383000000000000114e+02,4.930000000000000000e+02
1.670000000000000000e+02,1.727332856906080322e+12,1.727332856961965322e+09,4.388000000000000114e+02,4.936999999999999886e+02
